scenario,scenario_zh,supplysector,subsector,technology,input,eff_2005,eff_2021,eff_2035,default_eff_2025_scurve,target_energy_intensity_ratio_vs_2005,proposed_eff_2025,implied_energy_intensity_ratio_vs_2005,fixed_or_ceiling
ambitious,进取,comm appliances,electricity,electric appliances,elect_td_bld,1.0,1.108,1.129,1.1134444444444445,0.8,1.25,0.8,False
ambitious,进取,comm cooling,electricity,air conditioning,elect_td_bld,2.4,2.782,2.888,2.8094814814814817,0.8,2.9999999999999996,0.8,False
ambitious,进取,comm cooling,electricity,air conditioning hi-eff,elect_td_bld,4.0,4.0,4.0,4.0,0.8,5.0,0.8,False
ambitious,进取,comm heating,biomass,wood furnace,delivered biomass,0.65,0.66,0.67,0.6625925925925926,0.8,0.8125,0.8,False
ambitious,进取,comm heating,coal,coal furnace,delivered coal,0.65,0.66,0.67,0.6625925925925926,0.8,0.8125,0.8,False
ambitious,进取,comm heating,electricity,electric furnace,elect_td_bld,1.0,1.0,1.0,1.0,0.8,1.0,1.0,True
ambitious,进取,comm heating,electricity,electric heat pump,elect_td_bld,1.5,1.5,1.5,1.5,0.8,1.5,1.0,True
ambitious,进取,comm heating,gas,gas furnace,delivered gas,0.7,0.775,0.787,0.7781111111111111,0.8,0.8749999999999999,0.8,False
ambitious,进取,comm heating,gas,gas furnace hi-eff,delivered gas,1.5,1.5,1.5,1.5,0.8,1.875,0.8,False
ambitious,进取,comm heating,heat,district heat,district heat,0.9,0.9,0.9,0.9,0.8,0.9,1.0,True
ambitious,进取,comm heating,refined liquids,fuel furnace,refined liquids enduse,0.7,0.81,0.822,0.8131111111111111,0.8,0.8749999999999999,0.8,False
ambitious,进取,comm hot water_cooking,coal,coal water heater,delivered coal,1.0,1.0,1.0,1.0,0.8,1.0,1.0,True
ambitious,进取,comm hot water_cooking,electricity,electric resistance water heater,elect_td_bld,1.0,1.0,1.0,1.0,0.8,1.0,1.0,True
ambitious,进取,comm hot water_cooking,gas,gas water heater,delivered gas,0.7,0.775,0.787,0.7781111111111111,0.8,0.8749999999999999,0.8,False
ambitious,进取,comm hot water_cooking,gas,gas water heater hi-eff,delivered gas,1.5,1.5,1.5,1.5,0.8,1.875,0.8,False
ambitious,进取,comm hot water_cooking,refined liquids,fuel water heater,refined liquids enduse,1.0,1.0,1.0,1.0,0.8,1.0,1.0,True
ambitious,进取,comm lighting,electricity,elec light,elect_td_bld,0.021,0.021,0.022,0.02125925925925926,0.8,0.02625,0.8,False
ambitious,进取,comm lighting,electricity,fluorescent,elect_td_bld,0.041,0.041,0.042,0.04125925925925926,0.8,0.05125,0.8,False
ambitious,进取,resid_urban appliances modern,electricity,electric appliances,elect_td_bld,1.0,1.108,1.129,1.1134444444444445,0.8,1.25,0.8,False
ambitious,进取,resid_urban cooling modern,electricity,air conditioning,elect_td_bld,2.637,2.738,2.842,2.764962962962963,0.8,3.2962499999999997,0.8,False
ambitious,进取,resid_urban cooling modern,electricity,air conditioning hi-eff,elect_td_bld,3.3,3.3,3.3,3.3,0.8,4.124999999999999,0.8000000000000002,False
ambitious,进取,resid_urban heating modern,biomass,wood furnace,delivered biomass,0.4,0.406,0.412,0.40755555555555556,0.8,0.5,0.8,False
ambitious,进取,resid_urban heating modern,coal,coal furnace,delivered coal,0.4,0.406,0.412,0.40755555555555556,0.8,0.5,0.8,False
ambitious,进取,resid_urban heating modern,electricity,electric furnace,elect_td_bld,1.0,1.0,1.0,1.0,0.8,1.0,1.0,True
ambitious,进取,resid_urban heating modern,gas,gas furnace,delivered gas,0.78,0.78,0.792,0.7831111111111111,0.8,0.975,0.8,False
ambitious,进取,resid_urban heating modern,gas,gas furnace hi-eff,delivered gas,0.84,0.84,0.84,0.84,0.8,1.0499999999999998,0.8000000000000002,False
ambitious,进取,resid_urban heating modern,heat,district heat,district heat,0.9,0.9,0.9,0.9,0.8,0.9,1.0,True
ambitious,进取,resid_urban heating modern,refined liquids,fuel furnace,refined liquids enduse,0.78,0.78,0.792,0.7831111111111111,0.8,0.975,0.8,False
ambitious,进取,resid_urban heating modern,refined liquids,fuel furnace hi-eff,refined liquids enduse,0.84,0.84,0.84,0.84,0.8,1.0499999999999998,0.8000000000000002,False
ambitious,进取,resid_urban hot water_cooking modern,coal,coal water heater,delivered coal,1.0,1.0,1.0,1.0,0.8,1.0,1.0,True
ambitious,进取,resid_urban hot water_cooking modern,electricity,electric resistance water heater,elect_td_bld,0.8,0.9,0.9,0.9,0.8,1.0,0.8,False
ambitious,进取,resid_urban hot water_cooking modern,electricity,electric resistance water heater hi-eff,elect_td_bld,1.0,1.0,1.0,1.0,0.8,1.0,1.0,True
ambitious,进取,resid_urban hot water_cooking modern,gas,gas water heater,delivered gas,0.52,0.52,0.52,0.52,0.8,0.65,0.8,False
ambitious,进取,resid_urban hot water_cooking modern,gas,gas water heater hi-eff,delivered gas,0.82,0.82,0.82,0.82,0.8,1.025,0.8,False
ambitious,进取,resid_urban hot water_cooking modern,refined liquids,fuel water heater,refined liquids enduse,0.52,0.52,0.52,0.52,0.8,0.65,0.8,False
ambitious,进取,resid_urban hot water_cooking modern,refined liquids,fuel water heater hi-eff,refined liquids enduse,0.82,0.82,0.82,0.82,0.8,1.025,0.8,False
ambitious,进取,resid_urban lighting modern,electricity,elec light,elect_td_bld,0.3,0.3,0.3,0.3,0.8,0.37499999999999994,0.8,False
conservative,保守,comm appliances,electricity,electric appliances,elect_td_bld,1.0,1.108,1.129,1.1134444444444445,0.9,1.1134444444444445,0.8981139606825665,False
conservative,保守,comm cooling,electricity,air conditioning,elect_td_bld,2.4,2.782,2.888,2.8094814814814817,0.9,2.8094814814814817,0.8542501581944737,False
conservative,保守,comm cooling,electricity,air conditioning hi-eff,elect_td_bld,4.0,4.0,4.0,4.0,0.9,4.444444444444445,0.8999999999999999,False
conservative,保守,comm heating,biomass,wood furnace,delivered biomass,0.65,0.66,0.67,0.6625925925925926,0.9,0.7222222222222222,0.9,False
conservative,保守,comm heating,coal,coal furnace,delivered coal,0.65,0.66,0.67,0.6625925925925926,0.9,0.7222222222222222,0.9,False
conservative,保守,comm heating,electricity,electric furnace,elect_td_bld,1.0,1.0,1.0,1.0,0.9,1.0,1.0,True
conservative,保守,comm heating,electricity,electric heat pump,elect_td_bld,1.5,1.5,1.5,1.5,0.9,1.5,1.0,True
conservative,保守,comm heating,gas,gas furnace,delivered gas,0.7,0.775,0.787,0.7781111111111111,0.9,0.7781111111111111,0.899614450949593,False
conservative,保守,comm heating,gas,gas furnace hi-eff,delivered gas,1.5,1.5,1.5,1.5,0.9,1.6666666666666665,0.9000000000000001,False
conservative,保守,comm heating,heat,district heat,district heat,0.9,0.9,0.9,0.9,0.9,0.9,1.0,True
conservative,保守,comm heating,refined liquids,fuel furnace,refined liquids enduse,0.7,0.81,0.822,0.8131111111111111,0.9,0.8131111111111111,0.860890953812517,False
conservative,保守,comm hot water_cooking,coal,coal water heater,delivered coal,1.0,1.0,1.0,1.0,0.9,1.0,1.0,True
conservative,保守,comm hot water_cooking,electricity,electric resistance water heater,elect_td_bld,1.0,1.0,1.0,1.0,0.9,1.0,1.0,True
conservative,保守,comm hot water_cooking,gas,gas water heater,delivered gas,0.7,0.775,0.787,0.7781111111111111,0.9,0.7781111111111111,0.899614450949593,False
conservative,保守,comm hot water_cooking,gas,gas water heater hi-eff,delivered gas,1.5,1.5,1.5,1.5,0.9,1.6666666666666665,0.9000000000000001,False
