supplysector,subsector,technology,minicam_energy_input,efficiency_2005,default_2025_scurve,conservative_intensity_ratio,central_intensity_ratio,ambitious_intensity_ratio,conservative_energy_saving_pct,central_energy_saving_pct,ambitious_energy_saving_pct,conservative_efficiency_2025,central_efficiency_2025,ambitious_efficiency_2025,conservative_vs_default_efficiency_pct,central_vs_default_efficiency_pct,ambitious_vs_default_efficiency_pct
comm appliances,electricity,electric appliances,elect_td_bld,1.0,1.110205,0.88,0.82,0.74,12.00,18.0,26.00,1.136364,1.219512,1.351351,2.36,9.85,21.72
comm cooling,electricity,air conditioning,elect_td_bld,2.4,2.79313,0.8,0.72,0.62,20.00,28.0,38.00,3,3.333333,3.870968,7.41,19.34,38.59
comm cooling,electricity,air conditioning hi-eff,elect_td_bld,4.0,4.0,0.86,0.8,0.7,14.00,20.0,30.00,4.651163,5.0,5.714286,16.28,25.0,42.86
comm heating,biomass,wood furnace,delivered biomass,0.65,0.66105,0.94,0.88,0.82,6.00,12.0,18.00,0.691489,0.738636,0.792683,4.60,11.74,19.91
comm heating,coal,coal furnace,delivered coal,0.65,0.66105,0.94,0.88,0.82,6.00,12.0,18.00,0.691489,0.738636,0.792683,4.60,11.74,19.91
comm heating,electricity,electric furnace,elect_td_bld,1.0,1.0,1,1.0,1,0.00,0.0,0.00,1,1.0,1,0.00,0.0,0.00
comm heating,electricity,electric heat pump,elect_td_bld,1.5,1.5,0.85,0.75,0.65,15.00,25.0,35.00,1.764706,2.0,2.307692,17.65,33.33,53.85
comm heating,gas,gas furnace,delivered gas,0.7,0.77626,0.9,0.85,0.78,10.00,15.0,22.00,0.777778,0.823529,0.897436,0.20,6.09,15.61
comm heating,gas,gas furnace hi-eff,delivered gas,1.5,1.5,1,0.95,0.88,0.00,5.0,12.00,1.5,1.578947,1.704545,0.00,5.26,13.64
comm heating,heat,district heat,district heat,0.9,0.9,1,1.0,1,0.00,0.0,0.00,0.9,0.9,0.9,0.00,0.0,0.00
comm heating,refined liquids,fuel furnace,refined liquids enduse,0.7,0.81126,0.86,0.85,0.78,14.00,15.0,22.00,0.813953,0.823529,0.897436,0.33,1.51,10.62
comm hot water_cooking,coal,coal water heater,delivered coal,1.0,1.0,1,1.0,1,0.00,0.0,0.00,1,1.0,1,0.00,0.0,0.00
comm hot water_cooking,electricity,electric resistance water heater,elect_td_bld,1.0,1.0,1,1.0,1,0.00,0.0,0.00,1,1.0,1,0.00,0.0,0.00
comm hot water_cooking,gas,gas water heater,delivered gas,0.7,0.77626,0.9,0.82,0.74,10.00,18.0,26.00,0.777778,0.853659,0.945946,0.20,9.97,21.86
comm hot water_cooking,gas,gas water heater hi-eff,delivered gas,1.5,1.5,1,0.95,0.88,0.00,5.0,12.00,1.5,1.578947,1.704545,0.00,5.26,13.64
comm hot water_cooking,refined liquids,fuel water heater,refined liquids enduse,1.0,1.0,1,1.0,1,0.00,0.0,0.00,1,1.0,1,0.00,0.0,0.00
comm lighting,electricity,elec light,elect_td_bld,0.021,0.021105,0.75,0.65,0.5,25.00,35.0,50.00,0.028,0.032308,0.042,32.67,53.08,99.00
comm lighting,electricity,fluorescent,elect_td_bld,0.041,0.041105,0.85,0.75,0.62,15.00,25.0,38.00,0.048235,0.054667,0.066129,17.35,32.99,60.88
resid_urban appliances modern,electricity,electric appliances,elect_td_bld,1.0,1.110205,0.88,0.82,0.74,12.00,18.0,26.00,1.136364,1.219512,1.351351,2.36,9.85,21.72
resid_urban cooling modern,electricity,air conditioning,elect_td_bld,2.637,2.74892,0.75,0.65,0.55,25.00,35.0,45.00,3.516,4.056923,4.794545,27.90,47.58,74.42
resid_urban cooling modern,electricity,air conditioning hi-eff,elect_td_bld,3.3,3.3,0.82,0.72,0.62,18.00,28.0,38.00,4.02439,4.583333,5.322581,21.95,38.89,61.29
resid_urban heating modern,biomass,wood furnace,delivered biomass,0.4,0.40663,0.94,0.88,0.82,6.00,12.0,18.00,0.425532,0.454545,0.487805,4.65,11.78,19.96
resid_urban heating modern,coal,coal furnace,delivered coal,0.4,0.40663,0.94,0.88,0.82,6.00,12.0,18.00,0.425532,0.454545,0.487805,4.65,11.78,19.96
resid_urban heating modern,electricity,electric furnace,elect_td_bld,1.0,1.0,1,1.0,1,0.00,0.0,0.00,1,1.0,1,0.00,0.0,0.00
resid_urban heating modern,gas,gas furnace,delivered gas,0.78,0.78126,0.96,0.92,0.86,4.00,8.0,14.00,0.8125,0.847826,0.906977,4.00,8.52,16.09
resid_urban heating modern,gas,gas furnace hi-eff,delivered gas,0.84,0.84,0.96,0.9,0.84,4.00,10.0,16.00,0.875,0.933333,1,4.17,11.11,19.05
resid_urban heating modern,heat,district heat,district heat,0.9,0.9,1,1.0,1,0.00,0.0,0.00,0.9,0.9,0.9,0.00,0.0,0.00
resid_urban heating modern,refined liquids,fuel furnace,refined liquids enduse,0.78,0.78126,0.96,0.92,0.86,4.00,8.0,14.00,0.8125,0.847826,0.906977,4.00,8.52,16.09
resid_urban heating modern,refined liquids,fuel furnace hi-eff,refined liquids enduse,0.84,0.84,0.96,0.9,0.84,4.00,10.0,16.00,0.875,0.933333,1,4.17,11.11,19.05
resid_urban hot water_cooking modern,coal,coal water heater,delivered coal,1.0,1.0,1,1.0,1,0.00,0.0,0.00,1,1.0,1,0.00,0.0,0.00
resid_urban hot water_cooking modern,electricity,electric resistance water heater,elect_td_bld,0.8,0.9,0.888889,0.88,0.84,11.11,12.0,16.00,0.9,0.909091,0.952381,-0.00,1.01,5.82
resid_urban hot water_cooking modern,electricity,electric resistance water heater hi-eff,elect_td_bld,1.0,1.0,1,1.0,1,0.00,0.0,0.00,1,1.0,1,0.00,0.0,0.00
resid_urban hot water_cooking modern,gas,gas water heater,delivered gas,0.52,0.52,0.92,0.85,0.75,8.00,15.0,25.00,0.565217,0.611765,0.693333,8.70,17.65,33.33
resid_urban hot water_cooking modern,gas,gas water heater hi-eff,delivered gas,0.82,0.82,0.96,0.9,0.82,4.00,10.0,18.00,0.854167,0.911111,1,4.17,11.11,21.95
resid_urban hot water_cooking modern,refined liquids,fuel water heater,refined liquids enduse,0.52,0.52,0.92,0.85,0.75,8.00,15.0,25.00,0.565217,0.611765,0.693333,8.70,17.65,33.33
resid_urban hot water_cooking modern,refined liquids,fuel water heater hi-eff,refined liquids enduse,0.82,0.82,0.96,0.9,0.82,4.00,10.0,18.00,0.854167,0.911111,1,4.17,11.11,21.95
resid_urban lighting modern,electricity,elec light,elect_td_bld,0.3,0.3,0.72,0.6,0.48,28.00,40.0,52.00,0.416667,0.5,0.625,38.89,66.67,108.33
