# File: GDP_deflator_HK.csv
# Title: GDP deflator for Hong Kong
# Units: 2015 USD as base year
# Description: GDP deflator for Hong Kong
# Source: https://data.worldbank.org/indicator/NY.GDP.DEFL.ZS?locations=HK
# Column types: nn
# ----------
Year,GDP deflator
1975,17.37103541
1976,19.04510317
1977,19.77995661
1978,21.38657901
1979,25.18482555
1980,29.15021599
1981,32.24484373
1982,35.36774881
1983,36.99562915
1984,40.56276948
1985,42.73745943
1986,44.34895744
1987,48.16798164
1988,52.40771761
1989,58.98987437
1990,63.45238206
1991,69.25216396
1992,76.10766551
1993,82.66280264
1994,87.88817635
1995,91.52642253
1996,96.91154298
1997,102.4938733
1998,103.7441913
1999,99.49516553
2000,96.1181135
2001,94.41294613
2002,91.20111762
2003,85.72202059
2004,82.64388424
2005,82.51985163
2006,82.07851901
2007,84.65365251
2008,85.73847046
2009,85.41659745
2010,85.64778605
2011,88.98624961
2012,92.14065282
2013,93.8106777
2014,96.48452325
2015,100
2016,101.6382657
2017,104.5660345
2018,108.3926772
2019,110.6092214
2020,111.3153243
2021,112.0762937
