# File: HDDCDD_NEX_GDDP_CMIP6_HK.csv
# Title: Population-weighted HDDCDD historical data and projections for Hong Kong
# Units: Fahrenheit Degree Days
# Source: Refer to Xiujuan He Hong Kong base temperatures for heating and cooling degree days (HDD and CDD) are 14.95°C and 20.66°C (not 18.3°C as default). The climate data are from the NEX-GDDP-CMIP6 dataset and using ensemble mean of 33 models in SSP126 SSP245 SSP370 and SSP585 scenarios. The projection is started from 2015.
# Column types: cnnnnnnnnnn
# ----------
scenario,year,hdd_fdd_mean,hdd_fdd_median,hdd_fdd_p05,hdd_fdd_p95,cdd_fdd_mean,cdd_fdd_median,cdd_fdd_p05,cdd_fdd_p95,n_models
ssp126,1971,183.03354867071093,168.6305658873586,78.90359716811085,310.94814946913533,2277.8689049066807,2303.554500617558,2060.2794217520964,2440.2262940431124,33
ssp126,1972,150.69580583694227,150.62510565619513,68.54779665450069,231.2884280378052,2309.8702389929276,2301.6580971247913,2102.368892417708,2512.8206933691667,33
ssp126,1973,155.1694920370734,151.40857412948958,76.51430082912448,244.49705974903736,2341.6530968644274,2364.84414172437,2126.67154426241,2527.532982600124,33
ssp126,1974,161.58960140318513,137.62493835337492,86.69476656742079,287.97205154277225,2286.885837262867,2289.189413642209,2124.554419580005,2493.7668580039667,33
ssp126,1975,175.83467709802994,162.10197062522082,93.45399423574548,279.51849553923466,2265.2045929173505,2290.3806223940046,2066.452199865664,2398.1850435319557,33
ssp126,1976,157.36726239231777,156.90187568977692,87.01956995282873,237.1452477744277,2304.0817207742066,2297.563130017602,2152.65925004342,2485.4977455585226,33
ssp126,1977,166.86918001908433,154.2271687112181,71.63763064605547,284.3203183239372,2328.4140087144215,2322.7554109611838,2128.3501580096963,2524.860651927696,33
ssp126,1978,164.1552191164099,168.20502758303996,72.95197886283685,240.17666306233994,2309.718164821748,2298.1080025083784,2120.1082603612945,2495.114940206527,33
ssp126,1979,163.31249358162745,157.93699272230202,51.16100771940241,296.29224495948876,2330.32984100529,2292.7286145423086,2121.5201453822083,2567.933221055292,33
ssp126,1980,156.3960424160675,159.94736171594167,51.99502408927964,284.1717368785592,2336.351033866748,2322.227272356925,2185.1297720461184,2504.7141841348325,33
ssp126,1981,162.814320013173,152.55947421314647,87.55579876763117,259.94182883049484,2365.180035332897,2369.067866811227,2166.1593021509116,2573.704503213732,33
ssp126,1982,156.43819931922565,160.39318375898006,74.24301137562912,239.4754170401455,2293.2944609523283,2299.920847770468,2081.9690724840307,2485.5162735527583,33
ssp126,1983,176.902704156524,162.60940699335995,94.31675761002495,297.08477907401135,2272.234247813657,2243.4335529498603,2084.2481396695807,2490.390120526058,33
ssp126,1984,173.53238755837313,161.20194825306322,82.41325574619395,285.3568889895229,2330.7883730237277,2332.281808681947,2117.430786401195,2555.8314821385034,33
ssp126,1985,157.09317095948677,155.4493563812129,75.03553295463865,218.51294959575787,2295.9757152812176,2316.4217052776676,2031.9404127457215,2496.587724712206,33
ssp126,1986,145.92387272772865,145.67166583784126,68.95022764950455,260.920901176557,2349.525948429982,2350.631652990167,2174.239232312989,2517.801317657089,33
ssp126,1987,150.89224768889298,147.6571877165594,72.23780343747637,234.4866584436666,2336.5360231630793,2336.0034651961623,2176.0124299826925,2478.4814986483025,33
ssp126,1988,146.3205740992894,146.6766428759754,67.9532375349742,230.35694990970524,2356.9519472850343,2339.8594323950247,2163.7814568368535,2609.808376950141,33
ssp126,1989,182.3648917402738,187.05688392013525,76.61619837707933,302.7406849961592,2380.4484365020107,2392.0940879768104,2153.6758291267006,2620.699361637718,33
ssp126,1990,155.33959772953236,148.4661845213679,65.3507955635085,259.5548480690777,2438.757872105737,2436.0106517988784,2206.445620919659,2646.3594836571656,33
ssp126,1991,151.85318044308346,157.75066491931187,69.72255025088316,216.53470062168626,2383.9380759702767,2379.079808823266,2170.8943971119043,2629.163972566624,33
ssp126,1992,175.6015524132865,181.16156571477632,69.18554243098772,279.5036934251127,2288.5843007723925,2309.3170328675633,2083.637889226684,2446.313049428255,33
ssp126,1993,168.24446824727085,155.0040681371977,91.24387671951571,267.21927591866717,2272.6631640732544,2259.832014604198,2145.388556725663,2441.5646737967245,33
ssp126,1994,157.25141623640712,165.21634157249076,66.24957188844317,261.12740066599855,2347.045140679875,2339.7660105065424,2208.899812264679,2530.58412856395,33
ssp126,1995,172.9626468061169,172.98728334722395,63.39697066979167,282.9244565030817,2363.9908997066022,2350.0073565694483,2190.2946154373353,2580.7716334485867,33
ssp126,1996,157.87758247666233,162.12570335148405,69.94549218067048,245.5997026298665,2363.1492730957907,2366.4321907609783,2176.446306519512,2531.9917332969703,33
ssp126,1997,115.55095221307101,108.41901985528955,41.83087075338159,207.01953973003089,2482.6605931951617,2498.559195607285,2203.3137738217915,2705.564550889179,33
ssp126,1998,143.48752700078683,137.37413820270757,75.65939616884727,259.11763568794265,2491.6077158731323,2501.711133865253,2292.3579615766735,2682.2877086655794,33
ssp126,1999,156.9926381808954,142.3845145623307,63.62239506778717,276.7188728147496,2462.9939163757354,2475.2400598537156,2263.4985775700784,2721.806923077006,33
