# File: HDDCDD_constdd_noGCM_HK.csv
# Title: Population-weighted HDDCDD historical data and projections for Hong Kong
# Units: Fahrenheit Degree Days
# Source: Refer to Xiujuan He Hong Kong base temperatures for heating and cooling degree days (HDD and CDD) are 14.95°C and 20.66°C (not 18.3°C as default). The climate data are from Hong Kong Observatory https://data.gov.hk/tc-data/dataset/hk-hko-rss-daily-temperature-info-hko and using no climate models (const dgree day with no GCM model). The projection is started from 20.
# Column types: cccnnc
# ----------
Scen,GCM,variable,year,degree.days,region
constdd,no_GCM,HDD,1975,119.108571428571,HK
constdd,no_GCM,CDD,1975,2401.40571428571,HK
constdd,no_GCM,HDD,1990,128.415685528757,HK
constdd,no_GCM,CDD,1990,2298.95778014842,HK
constdd,no_GCM,HDD,2001,144.810060845391,HK
constdd,no_GCM,CDD,2001,2108.79239392154,HK
constdd,no_GCM,HDD,2002,162.375289045762,HK
constdd,no_GCM,CDD,2002,2085.42566306968,HK
constdd,no_GCM,HDD,2003,160.880405892105,HK
constdd,no_GCM,CDD,2003,2087.13529970661,HK
constdd,no_GCM,HDD,2004,145.351064424749,HK
constdd,no_GCM,CDD,2004,2100.73335947598,HK
constdd,no_GCM,HDD,2005,169.767618213426,HK
constdd,no_GCM,CDD,2005,2100.05190951239,HK
constdd,no_GCM,HDD,2006,176.381782042751,HK
constdd,no_GCM,CDD,2006,2105.56224419231,HK
constdd,no_GCM,HDD,2007,183.568113579101,HK
constdd,no_GCM,CDD,2007,2102.63351843989,HK
constdd,no_GCM,HDD,2008,186.279741682974,HK
constdd,no_GCM,CDD,2008,2132.50373047112,HK
constdd,no_GCM,HDD,2009,175.288003278521,HK
constdd,no_GCM,CDD,2009,2163.7073435374,HK
constdd,no_GCM,HDD,2010,172.20833571189,HK
constdd,no_GCM,CDD,2010,2169.40676413291,HK
constdd,no_GCM,HDD,2011,188.511583241671,HK
constdd,no_GCM,CDD,2011,2216.52292147312,HK
constdd,no_GCM,HDD,2012,156.278234824332,HK
constdd,no_GCM,CDD,2012,2287.03747952048,HK
constdd,no_GCM,HDD,2013,159.358512001139,HK
constdd,no_GCM,CDD,2013,2316.43093918532,HK
constdd,no_GCM,HDD,2014,144.258301709873,HK
constdd,no_GCM,CDD,2014,2357.38761751792,HK
constdd,no_GCM,HDD,2015,136.102493474203,HK
constdd,no_GCM,CDD,2015,2381.21376274172,HK
constdd,no_GCM,HDD,2016,110.342386062818,HK
constdd,no_GCM,CDD,2016,2400.1118940944,HK
constdd,no_GCM,HDD,2017,103.495641891465,HK
constdd,no_GCM,CDD,2017,2449.06715301269,HK
constdd,no_GCM,HDD,2018,89.2653828490144,HK
constdd,no_GCM,CDD,2018,2474.75585586584,HK
constdd,no_GCM,HDD,2019,99.051510871774,HK
constdd,no_GCM,CDD,2019,2451.67842517522,HK
constdd,no_GCM,HDD,2020,86.9790784393416,HK
constdd,no_GCM,CDD,2020,2460.26456417135,HK
constdd,no_GCM,HDD,2021,90.4895610648243,HK
constdd,no_GCM,CDD,2021,2506.58018905227,HK
constdd,no_GCM,HDD,2022,73.3472271895957,HK
constdd,no_GCM,CDD,2022,2523.86880866708,HK
constdd,no_GCM,HDD,2023,87.82655208291,HK
constdd,no_GCM,CDD,2023,2483.42956858635,HK
constdd,no_GCM,HDD,2024,87.4211466775046,HK
constdd,no_GCM,CDD,2024,2483.97010912689,HK
constdd,no_GCM,HDD,2025,87.0157412720992,HK
constdd,no_GCM,CDD,2025,2484.51064966743,HK
constdd,no_GCM,HDD,2026,86.6103358666938,HK
constdd,no_GCM,CDD,2026,2485.05119020797,HK
constdd,no_GCM,HDD,2027,86.2049304612884,HK
constdd,no_GCM,CDD,2027,2485.59173074852,HK
constdd,no_GCM,HDD,2028,85.799525055883,HK
constdd,no_GCM,CDD,2028,2486.13227128906,HK
constdd,no_GCM,HDD,2029,85.3941196504776,HK
constdd,no_GCM,CDD,2029,2486.6728118296,HK
constdd,no_GCM,HDD,2030,84.9887142450722,HK
constdd,no_GCM,CDD,2030,2487.21335237014,HK
constdd,no_GCM,HDD,2031,84.5833088396667,HK
constdd,no_GCM,CDD,2031,2487.75389291068,HK
constdd,no_GCM,HDD,2032,84.1779034342613,HK
constdd,no_GCM,CDD,2032,2488.29443345122,HK
constdd,no_GCM,HDD,2033,83.7724980288559,HK
constdd,no_GCM,CDD,2033,2488.83497399176,HK
constdd,no_GCM,HDD,2034,83.3670926234505,HK
constdd,no_GCM,CDD,2034,2489.3755145323,HK
constdd,no_GCM,HDD,2035,82.9616872180451,HK
constdd,no_GCM,CDD,2035,2489.91605507284,HK
constdd,no_GCM,HDD,2036,82.5562818126397,HK
constdd,no_GCM,CDD,2036,2490.45659561338,HK
constdd,no_GCM,HDD,2037,82.1508764072343,HK
constdd,no_GCM,CDD,2037,2490.99713615392,HK
constdd,no_GCM,HDD,2038,81.7454710018289,HK
constdd,no_GCM,CDD,2038,2491.53767669446,HK
constdd,no_GCM,HDD,2039,81.3400655964235,HK
constdd,no_GCM,CDD,2039,2492.078217235,HK
constdd,no_GCM,HDD,2040,80.9346601910181,HK
constdd,no_GCM,CDD,2040,2492.61875777554,HK
constdd,no_GCM,HDD,2041,80.5292547856127,HK
constdd,no_GCM,CDD,2041,2493.15929831608,HK
constdd,no_GCM,HDD,2042,80.1238493802073,HK
constdd,no_GCM,CDD,2042,2493.69983885662,HK
constdd,no_GCM,HDD,2043,79.7184439748019,HK
constdd,no_GCM,CDD,2043,2494.24037939716,HK
constdd,no_GCM,HDD,2044,79.3130385693965,HK
constdd,no_GCM,CDD,2044,2494.7809199377,HK
constdd,no_GCM,HDD,2045,78.9076331639911,HK
constdd,no_GCM,CDD,2045,2495.32146047825,HK
constdd,no_GCM,HDD,2046,78.5022277585857,HK
constdd,no_GCM,CDD,2046,2495.86200101879,HK
constdd,no_GCM,HDD,2047,78.0968223531803,HK
constdd,no_GCM,CDD,2047,2496.40254155933,HK
constdd,no_GCM,HDD,2048,77.6914169477749,HK
constdd,no_GCM,CDD,2048,2496.94308209987,HK
constdd,no_GCM,HDD,2049,77.2860115423694,HK
constdd,no_GCM,CDD,2049,2497.48362264041,HK
constdd,no_GCM,HDD,2050,76.880606136964,HK
constdd,no_GCM,CDD,2050,2498.02416318095,HK
constdd,no_GCM,HDD,2051,76.4752007315586,HK
constdd,no_GCM,CDD,2051,2498.56470372149,HK
constdd,no_GCM,HDD,2052,76.0697953261532,HK
