# File: IO_detailed_industry_HK.csv
# Title: Detailed industry coefficient in Hong Kong
# Units: GJ/kg or GJ/GJ
# Description: Input-output data are calculated based on historical energy consumption sourced from Hong Kong energy annual statistics report and energy end-use data. The energy consumption data could not be used directly due to the inconsistency between IEA data(used in GCAM) and Hong Kong's energy statistics, so the energy consumption share was used to allocate. The shares are estimated by ChatGPT Advanced Thinking model
# Column types: cnccccnnn
# ----------
province,year,supplysector,subsector,technology,minicam.energy.input,coefficient,production,energy.input
HK,1975,agricultural energy use,biomass,biomass,delivered biomass,1,0,0
HK,1990,agricultural energy use,biomass,biomass,delivered biomass,1,0,0
HK,2005,agricultural energy use,biomass,biomass,delivered biomass,1,0,0
HK,2015,agricultural energy use,biomass,biomass,delivered biomass,1,0,0
HK,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
HK,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
HK,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
HK,2015,agricultural energy use,coal,coal,delivered coal,1,0,0
HK,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
HK,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
HK,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
HK,2015,agricultural energy use,district heat,district heat,district heat,1,0,0
HK,1975,agricultural energy use,electricity,electricity,elect_td_ind,0,0,0
HK,1990,agricultural energy use,electricity,electricity,elect_td_ind,0,0,0
HK,2005,agricultural energy use,electricity,electricity,elect_td_ind,0,0,0
HK,2015,agricultural energy use,electricity,electricity,elect_td_ind,0.8,0,0
HK,1975,agricultural energy use,gas,gas,wholesale gas,1,0,0
HK,1990,agricultural energy use,gas,gas,wholesale gas,1,0,0
HK,2005,agricultural energy use,gas,gas,wholesale gas,1,0,0
HK,2015,agricultural energy use,gas,gas,wholesale gas,0.760365516,0,0
HK,1975,agricultural energy use,hydrogen,hydrogen,H2 industrial,0,0,0
HK,1990,agricultural energy use,hydrogen,hydrogen,H2 industrial,0,0,0
HK,2005,agricultural energy use,hydrogen,hydrogen,H2 industrial,0,0,0
HK,2015,agricultural energy use,hydrogen,hydrogen,H2 industrial,0.9,0,0
HK,1975,agricultural energy use,liquid,liquid,refined liquids industrial,1,0,0
HK,1990,agricultural energy use,liquid,liquid,refined liquids industrial,1,0,0
HK,2005,agricultural energy use,liquid,liquid,refined liquids industrial,1,0,0
HK,2015,agricultural energy use,liquid,liquid,refined liquids industrial,1,0,0
HK,1975,mining energy use,biomass,biomass,delivered biomass,1,0,0
HK,1990,mining energy use,biomass,biomass,delivered biomass,1,0,0
HK,2005,mining energy use,biomass,biomass,delivered biomass,1,0,0
HK,2015,mining energy use,biomass,biomass,delivered biomass,1,0,0
HK,2015,mining energy use,coal,coal,delivered coal,1,0,0
HK,2015,mining energy use,district heat,district heat,district heat,1,0,0
HK,1975,mining energy use,electricity,electricity,elect_td_ind,0.8,0,0
HK,1990,mining energy use,electricity,electricity,elect_td_ind,0.8,0,0
HK,2005,mining energy use,electricity,electricity,elect_td_ind,0.8,0,0
HK,2015,mining energy use,electricity,electricity,elect_td_ind,0.8,0,0
HK,2015,mining energy use,gas,gas,wholesale gas,1.520731032,0,0
HK,2015,mining energy use,hydrogen,hydrogen,H2 industrial,0.9,0,0
HK,1975,mining energy use,liquid,liquid,refined liquids industrial,1,0,0
HK,1990,mining energy use,liquid,liquid,refined liquids industrial,1,0,0
HK,2005,mining energy use,liquid,liquid,refined liquids industrial,1,0,0
HK,2015,mining energy use,liquid,liquid,refined liquids industrial,1,0,0
HK,2015,iron and steel,BLASTFUR,Biomass-based,delivered biomass,0.039478428,0,0
HK,2015,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,0.000191592,0,0
HK,2015,iron and steel,BLASTFUR,BLASTFUR,coke,0.582062136,0,0
HK,2015,iron and steel,BLASTFUR,BLASTFUR,delivered coal,0.005820957,0,0
HK,1975,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,0.002832425,0,0
HK,1990,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,0.002832425,0,0
HK,2005,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,0.002832425,0,0
HK,2015,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,0.000191592,0,0
HK,2015,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,0.0001492,0,0
HK,2015,iron and steel,BLASTFUR,BLASTFUR CCS,coke,0.584833412,0,0
HK,2015,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,0.008592233,0,0
HK,2015,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,0.000191592,0,0
HK,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,7.46e-05,0,0
HK,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,7.46e-05,0,0
HK,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,7.46e-05,0,0
HK,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,7.46e-05,0,0
HK,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
HK,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,5.24e-05,0,0
HK,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.00718303,0,0
HK,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
HK,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,5.24e-05,0,0
HK,2015,iron and steel,EAF with DRI,EAF with DRI CCS,wholesale gas,0.00718303,0,0
HK,2015,iron and steel,EAF with DRI,Hydrogen-based DRI,elect_td_ind,0.00144,0,0
