# File: SSPS_GDP_HK.csv
# Title: Annual average GDP growth by SSP for Hong Kong
# Units: Annual average growth %
# Description: annual average GDP growth converted from IIASA Hong Kong GDP|PPP
# Source: IIASA iamc_data-Hong Kong GDP Historical 2025 - SSPs.csv; OECD ENV-Growth 2025; GDP|PPP
# Column types: nnnnnn
# ----------
Year,SSP1,SSP2,SSP3,SSP4,SSP5
2010,2.948,2.948,2.948,2.948,2.948
2011,2.948,2.948,2.948,2.948,2.948
2012,2.948,2.948,2.948,2.948,2.948
2013,2.948,2.948,2.948,2.948,2.948
2014,2.948,2.948,2.948,2.948,2.948
2015,2.948,2.948,2.948,2.948,2.948
2016,0.046,0.046,0.046,0.046,0.046
2017,0.046,0.046,0.046,0.046,0.046
2018,0.046,0.046,0.046,0.046,0.046
2019,0.046,0.046,0.046,0.046,0.046
2020,0.046,0.046,0.046,0.046,0.046
2021,2.577,2.577,2.577,2.577,2.577
2022,2.577,2.577,2.577,2.577,2.577
2023,2.577,2.577,2.577,2.577,2.577
2024,2.577,2.577,2.577,2.577,2.577
2025,2.577,2.577,2.577,2.577,2.577
2026,2.448,2.431,2.385,2.445,2.497
2027,2.448,2.431,2.385,2.445,2.497
2028,2.448,2.431,2.385,2.445,2.497
2029,2.448,2.431,2.385,2.445,2.497
2030,2.448,2.431,2.385,2.445,2.497
2031,1.515,1.422,1.085,1.429,1.907
2032,1.515,1.422,1.085,1.429,1.907
2033,1.515,1.422,1.085,1.429,1.907
2034,1.515,1.422,1.085,1.429,1.907
2035,1.515,1.422,1.085,1.429,1.907
2036,0.579,0.535,0.112,0.386,1.171
2037,0.579,0.535,0.112,0.386,1.171
2038,0.579,0.535,0.112,0.386,1.171
2039,0.579,0.535,0.112,0.386,1.171
2040,0.579,0.535,0.112,0.386,1.171
2041,0.075,0.066,-0.369,-0.185,0.792
2042,0.075,0.066,-0.369,-0.185,0.792
2043,0.075,0.066,-0.369,-0.185,0.792
2044,0.075,0.066,-0.369,-0.185,0.792
2045,0.075,0.066,-0.369,-0.185,0.792
2046,-0.162,-0.195,-0.733,-0.447,0.641
2047,-0.162,-0.195,-0.733,-0.447,0.641
2048,-0.162,-0.195,-0.733,-0.447,0.641
2049,-0.162,-0.195,-0.733,-0.447,0.641
2050,-0.162,-0.195,-0.733,-0.447,0.641
2051,-0.262,-0.322,-0.99,-0.546,0.608
2052,-0.262,-0.322,-0.99,-0.546,0.608
2053,-0.262,-0.322,-0.99,-0.546,0.608
2054,-0.262,-0.322,-0.99,-0.546,0.608
2055,-0.262,-0.322,-0.99,-0.546,0.608
2056,-0.261,-0.315,-1.102,-0.514,0.654
2057,-0.261,-0.315,-1.102,-0.514,0.654
2058,-0.261,-0.315,-1.102,-0.514,0.654
2059,-0.261,-0.315,-1.102,-0.514,0.654
2060,-0.261,-0.315,-1.102,-0.514,0.654
2061,-0.193,-0.22,-1.084,-0.414,0.735
2062,-0.193,-0.22,-1.084,-0.414,0.735
2063,-0.193,-0.22,-1.084,-0.414,0.735
2064,-0.193,-0.22,-1.084,-0.414,0.735
2065,-0.193,-0.22,-1.084,-0.414,0.735
2066,-0.187,-0.186,-1.115,-0.38,0.742
2067,-0.187,-0.186,-1.115,-0.38,0.742
2068,-0.187,-0.186,-1.115,-0.38,0.742
2069,-0.187,-0.186,-1.115,-0.38,0.742
2070,-0.187,-0.186,-1.115,-0.38,0.742
2071,-0.207,-0.178,-1.151,-0.374,0.72
2072,-0.207,-0.178,-1.151,-0.374,0.72
2073,-0.207,-0.178,-1.151,-0.374,0.72
2074,-0.207,-0.178,-1.151,-0.374,0.72
2075,-0.207,-0.178,-1.151,-0.374,0.72
2076,-0.299,-0.233,-1.217,-0.435,0.631
2077,-0.299,-0.233,-1.217,-0.435,0.631
2078,-0.299,-0.233,-1.217,-0.435,0.631
2079,-0.299,-0.233,-1.217,-0.435,0.631
2080,-0.299,-0.233,-1.217,-0.435,0.631
2081,-0.39,-0.258,-1.212,-0.474,0.54
2082,-0.39,-0.258,-1.212,-0.474,0.54
2083,-0.39,-0.258,-1.212,-0.474,0.54
2084,-0.39,-0.258,-1.212,-0.474,0.54
2085,-0.39,-0.258,-1.212,-0.474,0.54
2086,-0.469,-0.246,-1.136,-0.487,0.456
2087,-0.469,-0.246,-1.136,-0.487,0.456
2088,-0.469,-0.246,-1.136,-0.487,0.456
2089,-0.469,-0.246,-1.136,-0.487,0.456
2090,-0.469,-0.246,-1.136,-0.487,0.456
2091,-0.519,-0.201,-1.016,-0.479,0.386
2092,-0.519,-0.201,-1.016,-0.479,0.386
2093,-0.519,-0.201,-1.016,-0.479,0.386
2094,-0.519,-0.201,-1.016,-0.479,0.386
2095,-0.519,-0.201,-1.016,-0.479,0.386
2096,-0.537,-0.149,-0.895,-0.474,0.32
2097,-0.537,-0.149,-0.895,-0.474,0.32
2098,-0.537,-0.149,-0.895,-0.474,0.32
2099,-0.537,-0.149,-0.895,-0.474,0.32
2100,-0.537,-0.149,-0.895,-0.474,0.32
2110,-0.537,-0.149,-0.895,-0.474,0.32
2120,-0.537,-0.149,-0.895,-0.474,0.32
2150,-0.537,-0.149,-0.895,-0.474,0.32
2200,-0.537,-0.149,-0.895,-0.474,0.32
