# File: SSPS_Population_HK.csv
# Title: SSP annual average population growth for Hong Kong
# Units: Annual average population growth (%/year)
# Description: Converted from IIASA-WiC POP 2025 Hong Kong population stock (million) to annual average population growth rate
# Source: IIASA-WiC POP 2025, region Hong Kong; historical 2010-2025 from Historical Reference; SSP futures from SSP rows
# Column types: nnnnnn
# ----------
Year,SSP1,SSP2,SSP3,SSP4,SSP5
2010,0.729,0.729,0.729,0.729,0.729
2011,0.729,0.729,0.729,0.729,0.729
2012,0.729,0.729,0.729,0.729,0.729
2013,0.729,0.729,0.729,0.729,0.729
2014,0.729,0.729,0.729,0.729,0.729
2015,0.729,0.729,0.729,0.729,0.729
2016,0.333,0.333,0.333,0.333,0.333
2017,0.333,0.333,0.333,0.333,0.333
2018,0.333,0.333,0.333,0.333,0.333
2019,0.333,0.333,0.333,0.333,0.333
2020,0.333,0.333,0.333,0.333,0.333
2021,0.09,0.09,0.09,0.09,0.09
2022,0.09,0.09,0.09,0.09,0.09
2023,0.09,0.09,0.09,0.09,0.09
2024,0.09,0.09,0.09,0.09,0.09
2025,0.09,0.09,0.09,0.09,0.09
2026,0.075,0.032,-0.093,-0.026,0.305
2027,0.075,0.032,-0.093,-0.026,0.305
2028,0.075,0.032,-0.093,-0.026,0.305
2029,0.075,0.032,-0.093,-0.026,0.305
2030,0.075,0.032,-0.093,-0.026,0.305
2031,0.014,-0.044,-0.204,-0.12,0.276
2032,0.014,-0.044,-0.204,-0.12,0.276
2033,0.014,-0.044,-0.204,-0.12,0.276
2034,0.014,-0.044,-0.204,-0.12,0.276
2035,0.014,-0.044,-0.204,-0.12,0.276
2036,-0.017,-0.089,-0.29,-0.188,0.276
2037,-0.017,-0.089,-0.29,-0.188,0.276
2038,-0.017,-0.089,-0.29,-0.188,0.276
2039,-0.017,-0.089,-0.29,-0.188,0.276
2040,-0.017,-0.089,-0.29,-0.188,0.276
2041,-0.02,-0.104,-0.353,-0.219,0.295
2042,-0.02,-0.104,-0.353,-0.219,0.295
2043,-0.02,-0.104,-0.353,-0.219,0.295
2044,-0.02,-0.104,-0.353,-0.219,0.295
2045,-0.02,-0.104,-0.353,-0.219,0.295
2046,0.01,-0.069,-0.331,-0.214,0.337
2047,0.01,-0.069,-0.331,-0.214,0.337
2048,0.01,-0.069,-0.331,-0.214,0.337
2049,0.01,-0.069,-0.331,-0.214,0.337
2050,0.01,-0.069,-0.331,-0.214,0.337
2051,-0.058,-0.121,-0.389,-0.275,0.267
2052,-0.058,-0.121,-0.389,-0.275,0.267
2053,-0.058,-0.121,-0.389,-0.275,0.267
2054,-0.058,-0.121,-0.389,-0.275,0.267
2055,-0.058,-0.121,-0.389,-0.275,0.267
2056,-0.171,-0.18,-0.438,-0.33,0.155
2057,-0.171,-0.18,-0.438,-0.33,0.155
2058,-0.171,-0.18,-0.438,-0.33,0.155
2059,-0.171,-0.18,-0.438,-0.33,0.155
2060,-0.171,-0.18,-0.438,-0.33,0.155
2061,-0.305,-0.258,-0.478,-0.403,-0.001
2062,-0.305,-0.258,-0.478,-0.403,-0.001
2063,-0.305,-0.258,-0.478,-0.403,-0.001
2064,-0.305,-0.258,-0.478,-0.403,-0.001
2065,-0.305,-0.258,-0.478,-0.403,-0.001
2066,-0.397,-0.305,-0.475,-0.449,-0.117
2067,-0.397,-0.305,-0.475,-0.449,-0.117
2068,-0.397,-0.305,-0.475,-0.449,-0.117
2069,-0.397,-0.305,-0.475,-0.449,-0.117
2070,-0.397,-0.305,-0.475,-0.449,-0.117
2071,-0.469,-0.343,-0.447,-0.497,-0.213
2072,-0.469,-0.343,-0.447,-0.497,-0.213
2073,-0.469,-0.343,-0.447,-0.497,-0.213
2074,-0.469,-0.343,-0.447,-0.497,-0.213
2075,-0.469,-0.343,-0.447,-0.497,-0.213
2076,-0.546,-0.393,-0.401,-0.567,-0.313
2077,-0.546,-0.393,-0.401,-0.567,-0.313
2078,-0.546,-0.393,-0.401,-0.567,-0.313
2079,-0.546,-0.393,-0.401,-0.567,-0.313
2080,-0.546,-0.393,-0.401,-0.567,-0.313
2081,-0.648,-0.441,-0.33,-0.639,-0.436
2082,-0.648,-0.441,-0.33,-0.639,-0.436
2083,-0.648,-0.441,-0.33,-0.639,-0.436
2084,-0.648,-0.441,-0.33,-0.639,-0.436
2085,-0.648,-0.441,-0.33,-0.639,-0.436
2086,-0.771,-0.488,-0.262,-0.71,-0.58
2087,-0.771,-0.488,-0.262,-0.71,-0.58
2088,-0.771,-0.488,-0.262,-0.71,-0.58
2089,-0.771,-0.488,-0.262,-0.71,-0.58
2090,-0.771,-0.488,-0.262,-0.71,-0.58
2091,-0.884,-0.533,-0.224,-0.782,-0.719
2092,-0.884,-0.533,-0.224,-0.782,-0.719
2093,-0.884,-0.533,-0.224,-0.782,-0.719
2094,-0.884,-0.533,-0.224,-0.782,-0.719
2095,-0.884,-0.533,-0.224,-0.782,-0.719
2096,-0.961,-0.582,-0.221,-0.868,-0.842
2097,-0.961,-0.582,-0.221,-0.868,-0.842
2098,-0.961,-0.582,-0.221,-0.868,-0.842
2099,-0.961,-0.582,-0.221,-0.868,-0.842
2100,-0.961,-0.582,-0.221,-0.868,-0.842
