# File: electricity_water_coef_HK_direct_seawater.csv
# Title: average electricity water coeffcient by China provinces
# Units: m^3/GJ
# Source: original GCAM water-electricity workbooks. Many values from Macknick et al and IEAGHG. Estimated with ChatGPT investigation (based on related HK report. Core assumption including 1 HK thermal power plants use direct/once-through seawater cooling where cooling is needed. 2 Freshwater withdrawal and freshwater consumption for cooling are set to 0. 3 OCGT peak units are air-cooled and set to 0. 4 PV/wind follow original GCAM-China non-thermal coefficients.)
# Description: Calculate the average value by combining the proportion of cooling types in Hong Kong
# Column types: ccccncnc
# ----------
region,supplysector,subsector,technology,year,minicam.energy.input,coefficient,market.name
HK,base load generation,biomass,biomass_base_IGCC,1975,seawater,35.040656285,China
HK,base load generation,biomass,biomass_base_IGCC,1975,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,1975,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,1990,seawater,35.040656285,China
HK,base load generation,biomass,biomass_base_IGCC,1990,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,1990,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2005,seawater,35.040656285,China
HK,base load generation,biomass,biomass_base_IGCC,2005,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2005,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2010,seawater,35.040656285,China
HK,base load generation,biomass,biomass_base_IGCC,2010,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2010,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2015,seawater,30.48224547,China
HK,base load generation,biomass,biomass_base_IGCC,2015,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2015,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2021,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2021,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2021,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2025,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2025,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2025,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2030,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2030,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2030,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2035,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2035,water_td_elec_C,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2035,water_td_elec_W,0,HK
HK,base load generation,biomass,biomass_base_IGCC,2040,seawater,30.839000915,China
HK,base load generation,biomass,biomass_base_IGCC,2040,water_td_elec_C,0,HK
