# File: en_balance_Mtce_Yh_HK.csv
# Title: energy balance in Hong Kong
# Units: Mtce
# Comments: Hong Kong energy balance data map from IEA to NBS
# Source: IEA_EnergyBalance_2023 (PREBUILTDATA) and Hong Kong Energy Statistic Annual Report and End-Use Data (2000-2023), containing 1971 to 2015 and 2021
# Column types: ciccn
# ----------
province.name,year,EBMaterial,EBProcess,value
Hong Kong,1971,Coke,Coking,0
Hong Kong,1972,Coke,Coking,0
Hong Kong,1973,Coke,Coking,0
Hong Kong,1974,Coke,Coking,0
Hong Kong,1975,Coke,Coking,0
Hong Kong,1976,Coke,Coking,0
Hong Kong,1977,Coke,Coking,0
Hong Kong,1978,Coke,Coking,0
Hong Kong,1979,Coke,Coking,0
Hong Kong,1980,Coke,Coking,0
Hong Kong,1981,Coke,Coking,0
Hong Kong,1982,Coke,Coking,0
Hong Kong,1983,Coke,Coking,0
Hong Kong,1984,Coke,Coking,0
Hong Kong,1985,Coke,Coking,0
Hong Kong,1986,Coke,Coking,0
Hong Kong,1987,Coke,Coking,0
Hong Kong,1988,Coke,Coking,0
Hong Kong,1989,Coke,Coking,0
Hong Kong,1990,Coke,Coking,0
Hong Kong,1991,Coke,Coking,0
Hong Kong,1992,Coke,Coking,0
Hong Kong,1993,Coke,Coking,0
Hong Kong,1994,Coke,Coking,0
Hong Kong,1995,Coke,Coking,0
Hong Kong,1996,Coke,Coking,0
Hong Kong,1997,Coke,Coking,0
Hong Kong,1998,Coke,Coking,0
Hong Kong,1999,Coke,Coking,0
Hong Kong,2000,Coke,Coking,0
Hong Kong,2001,Coke,Coking,0
Hong Kong,2002,Coke,Coking,0
Hong Kong,2003,Coke,Coking,0
Hong Kong,2004,Coke,Coking,0
Hong Kong,2005,Coke,Coking,0
Hong Kong,2006,Coke,Coking,0
Hong Kong,2007,Coke,Coking,0
Hong Kong,2008,Coke,Coking,0
Hong Kong,2009,Coke,Coking,0
Hong Kong,2010,Coke,Coking,0
Hong Kong,2011,Coke,Coking,0
Hong Kong,2012,Coke,Coking,0
Hong Kong,2013,Coke,Coking,0
Hong Kong,2014,Coke,Coking,0
Hong Kong,2015,Coke,Coking,0
Hong Kong,1971,Total Energy,Coking,0
Hong Kong,1972,Total Energy,Coking,0
Hong Kong,1973,Total Energy,Coking,0
Hong Kong,1974,Total Energy,Coking,0
Hong Kong,1975,Total Energy,Coking,0
Hong Kong,1976,Total Energy,Coking,0
Hong Kong,1977,Total Energy,Coking,0
Hong Kong,1978,Total Energy,Coking,0
Hong Kong,1979,Total Energy,Coking,0
Hong Kong,1980,Total Energy,Coking,0
Hong Kong,1981,Total Energy,Coking,0
Hong Kong,1982,Total Energy,Coking,0
Hong Kong,1983,Total Energy,Coking,0
Hong Kong,1984,Total Energy,Coking,0
Hong Kong,1985,Total Energy,Coking,0
Hong Kong,1986,Total Energy,Coking,0
Hong Kong,1987,Total Energy,Coking,0
Hong Kong,1988,Total Energy,Coking,0
Hong Kong,1989,Total Energy,Coking,0
Hong Kong,1990,Total Energy,Coking,0
Hong Kong,1991,Total Energy,Coking,0
Hong Kong,1992,Total Energy,Coking,0
Hong Kong,1993,Total Energy,Coking,0
Hong Kong,1994,Total Energy,Coking,0
Hong Kong,1995,Total Energy,Coking,0
Hong Kong,1996,Total Energy,Coking,0
Hong Kong,1997,Total Energy,Coking,0
Hong Kong,1998,Total Energy,Coking,0
Hong Kong,1999,Total Energy,Coking,0
Hong Kong,2000,Total Energy,Coking,0
Hong Kong,2001,Total Energy,Coking,0
Hong Kong,2002,Total Energy,Coking,0
Hong Kong,2003,Total Energy,Coking,0
Hong Kong,2004,Total Energy,Coking,0
Hong Kong,2005,Total Energy,Coking,0
Hong Kong,2006,Total Energy,Coking,0
Hong Kong,2007,Total Energy,Coking,0
Hong Kong,2008,Total Energy,Coking,0
Hong Kong,2009,Total Energy,Coking,0
Hong Kong,2010,Total Energy,Coking,0
Hong Kong,2011,Total Energy,Coking,0
Hong Kong,2012,Total Energy,Coking,0
Hong Kong,2013,Total Energy,Coking,0
Hong Kong,2014,Total Energy,Coking,0
Hong Kong,2015,Total Energy,Coking,0
Hong Kong,1971,Coal Raw,Agriculture,0
Hong Kong,1972,Coal Raw,Agriculture,0
Hong Kong,1973,Coal Raw,Agriculture,0
Hong Kong,1974,Coal Raw,Agriculture,0
Hong Kong,1975,Coal Raw,Agriculture,0
Hong Kong,1976,Coal Raw,Agriculture,0
Hong Kong,1977,Coal Raw,Agriculture,0
Hong Kong,1978,Coal Raw,Agriculture,0
Hong Kong,1979,Coal Raw,Agriculture,0
Hong Kong,1980,Coal Raw,Agriculture,0
Hong Kong,1981,Coal Raw,Agriculture,0
Hong Kong,1982,Coal Raw,Agriculture,0
Hong Kong,1983,Coal Raw,Agriculture,0
Hong Kong,1984,Coal Raw,Agriculture,0
Hong Kong,1985,Coal Raw,Agriculture,0
Hong Kong,1986,Coal Raw,Agriculture,0
Hong Kong,1987,Coal Raw,Agriculture,0
Hong Kong,1988,Coal Raw,Agriculture,0
Hong Kong,1989,Coal Raw,Agriculture,0
Hong Kong,1990,Coal Raw,Agriculture,0
Hong Kong,1991,Coal Raw,Agriculture,0
Hong Kong,1992,Coal Raw,Agriculture,0
Hong Kong,1993,Coal Raw,Agriculture,0
Hong Kong,1994,Coal Raw,Agriculture,0
Hong Kong,1995,Coal Raw,Agriculture,0
Hong Kong,1996,Coal Raw,Agriculture,0
Hong Kong,1997,Coal Raw,Agriculture,0
Hong Kong,1998,Coal Raw,Agriculture,0
Hong Kong,1999,Coal Raw,Agriculture,0
Hong Kong,2000,Coal Raw,Agriculture,0
Hong Kong,2001,Coal Raw,Agriculture,0
Hong Kong,2002,Coal Raw,Agriculture,0
Hong Kong,2003,Coal Raw,Agriculture,0
Hong Kong,2004,Coal Raw,Agriculture,0
Hong Kong,2005,Coal Raw,Agriculture,0
Hong Kong,2006,Coal Raw,Agriculture,0
Hong Kong,2007,Coal Raw,Agriculture,0
Hong Kong,2008,Coal Raw,Agriculture,0
Hong Kong,2009,Coal Raw,Agriculture,0
Hong Kong,2010,Coal Raw,Agriculture,0
Hong Kong,2011,Coal Raw,Agriculture,0
Hong Kong,2012,Coal Raw,Agriculture,0
Hong Kong,2013,Coal Raw,Agriculture,0
Hong Kong,2014,Coal Raw,Agriculture,0
Hong Kong,2015,Coal Raw,Agriculture,0
Hong Kong,1971,Total Coal,Agriculture,0
Hong Kong,1972,Total Coal,Agriculture,0
Hong Kong,1973,Total Coal,Agriculture,0
Hong Kong,1974,Total Coal,Agriculture,0
