scenario,building_type,year,shell_conductance,common_2025_reference,long_run_floor,half_life_years,reduction_vs_2025_pct
conservative,comm,2030,0.930673,0.9479,0.79,30,1.817
conservative,comm,2035,0.915325,0.9479,0.79,30,3.437
conservative,comm,2040,0.901652,0.9479,0.79,30,4.879
conservative,comm,2045,0.889471,0.9479,0.79,30,6.164
conservative,comm,2050,0.878618,0.9479,0.79,30,7.309
conservative,comm,2055,0.86895,0.9479,0.79,30,8.329
conservative,comm,2060,0.860336,0.9479,0.79,30,9.238
conservative,comm,2065,0.852663,0.9479,0.79,30,10.047
conservative,comm,2070,0.845826,0.9479,0.79,30,10.768
conservative,comm,2075,0.839735,0.9479,0.79,30,11.411
conservative,comm,2080,0.834309,0.9479,0.79,30,11.983
conservative,comm,2085,0.829475,0.9479,0.79,30,12.493
conservative,comm,2090,0.825168,0.9479,0.79,30,12.948
conservative,comm,2095,0.821331,0.9479,0.79,30,13.353
conservative,comm,2100,0.817913,0.9479,0.79,30,13.713
conservative,resid_urban_d1-d10,2030,0.932855,0.9479,0.81,30,1.587
conservative,resid_urban_d1-d10,2035,0.919451,0.9479,0.81,30,3.001
conservative,resid_urban_d1-d10,2040,0.90751,0.9479,0.81,30,4.261
conservative,resid_urban_d1-d10,2045,0.896872,0.9479,0.81,30,5.383
conservative,resid_urban_d1-d10,2050,0.887394,0.9479,0.81,30,6.383
conservative,resid_urban_d1-d10,2055,0.87895,0.9479,0.81,30,7.274
conservative,resid_urban_d1-d10,2060,0.871427,0.9479,0.81,30,8.068
conservative,resid_urban_d1-d10,2065,0.864726,0.9479,0.81,30,8.775
conservative,resid_urban_d1-d10,2070,0.858755,0.9479,0.81,30,9.404
conservative,resid_urban_d1-d10,2075,0.853436,0.9479,0.81,30,9.966
conservative,resid_urban_d1-d10,2080,0.848697,0.9479,0.81,30,10.466
conservative,resid_urban_d1-d10,2085,0.844475,0.9479,0.81,30,10.911
conservative,resid_urban_d1-d10,2090,0.840714,0.9479,0.81,30,11.308
conservative,resid_urban_d1-d10,2095,0.837363,0.9479,0.81,30,11.661
conservative,resid_urban_d1-d10,2100,0.834378,0.9479,0.81,30,11.976
central,comm,2030,0.913222,0.9479,0.69,24,3.658
central,comm,2035,0.883207,0.9479,0.69,24,6.825
central,comm,2040,0.857227,0.9479,0.69,24,9.566
central,comm,2045,0.834741,0.9479,0.69,24,11.938
central,comm,2050,0.815279,0.9479,0.69,24,13.991
central,comm,2055,0.798434,0.9479,0.69,24,15.768
central,comm,2060,0.783853,0.9479,0.69,24,17.306
central,comm,2065,0.771233,0.9479,0.69,24,18.638
central,comm,2070,0.76031,0.9479,0.69,24,19.79
central,comm,2075,0.750856,0.9479,0.69,24,20.787
central,comm,2080,0.742673,0.9479,0.69,24,21.651
central,comm,2085,0.735591,0.9479,0.69,24,22.398
central,comm,2090,0.72946,0.9479,0.69,24,23.045
central,comm,2095,0.724154,0.9479,0.69,24,23.604
central,comm,2100,0.719562,0.9479,0.69,24,24.089
central,resid_urban_d1-d10,2030,0.920707,0.9479,0.73,26,2.869
central,resid_urban_d1-d10,2035,0.896908,0.9479,0.73,26,5.379
central,resid_urban_d1-d10,2040,0.876078,0.9479,0.73,26,7.577
central,resid_urban_d1-d10,2045,0.857849,0.9479,0.73,26,9.5
central,resid_urban_d1-d10,2050,0.841894,0.9479,0.73,26,11.183
central,resid_urban_d1-d10,2055,0.82793,0.9479,0.73,26,12.656
central,resid_urban_d1-d10,2060,0.815709,0.9479,0.73,26,13.946
central,resid_urban_d1-d10,2065,0.805013,0.9479,0.73,26,15.074
central,resid_urban_d1-d10,2070,0.795651,0.9479,0.73,26,16.062
central,resid_urban_d1-d10,2075,0.787458,0.9479,0.73,26,16.926
central,resid_urban_d1-d10,2080,0.780288,0.9479,0.73,26,17.682
central,resid_urban_d1-d10,2085,0.774012,0.9479,0.73,26,18.345
central,resid_urban_d1-d10,2090,0.76852,0.9479,0.73,26,18.924
