scenario,scenario_zh,supplysector,base_supplysector,subsector,technology,input,technology_class,period,efficiency_2025_start,annual_improvement_rate_pct,default_gcam_efficiency,proposed_efficiency,change_vs_2025_pct,energy_intensity_ratio_vs_2025,high_eff_counterpart,counterpart_efficiency,absolute_cap,binding_constraint
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2025,0.7222,0.0,0.6625925925925926,0.7222,0.0,1.0,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2030,0.7222,0.2,0.6674074074074074,0.7294509458337991,1.0040080080031988,0.9900597211159814,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2035,0.7222,0.2,0.67,0.7367746917444256,2.018096336807762,0.9802182513762547,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2040,0.7222,0.12,0.6725925925925926,0.7412059621895609,2.631675739346573,0.9743580554406006,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2045,0.7222,0.12,0.6774074074074075,0.7456638841442798,3.2489454644530236,0.9685328944539042,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2050,0.7222,0.12,0.68,0.7501486179018823,3.8699277072669958,0.9627425589611125,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2055,0.7222,0.05,0.6825925925925926,0.7520258657561016,4.129862331224277,0.9603393086405158,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2060,0.7222,0.05,0.6874074074074074,0.7539078114254234,4.390447441903,0.9579420574440354,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2065,0.7222,0.05,0.69,0.7557944666661356,4.651684667147005,0.9555507903963318,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2070,0.7222,0.0,0.6928518518518518,0.7557944666661356,4.651684667147005,0.9555507903963318,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2075,0.7222,0.0,0.6981481481481481,0.7557944666661356,4.651684667147005,0.9555507903963318,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2080,0.7222,0.0,0.701,0.7557944666661356,4.651684667147005,0.9555507903963318,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2085,0.7222,0.0,0.7035925925925925,0.7557944666661356,4.651684667147005,0.9555507903963318,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2090,0.7222,0.0,0.7084074074074074,0.7557944666661356,4.651684667147005,0.9555507903963318,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2095,0.7222,0.0,0.711,0.7557944666661356,4.651684667147005,0.9555507903963318,,,0.808864,
conservative,保守,comm heating,comm heating,biomass,wood furnace,delivered biomass,combustion_standard,2100,0.7222,0.0,0.711,0.7557944666661356,4.651684667147005,0.9555507903963318,,,0.808864,
